SpeciesName,longitude,latitude,Bio1,Bio12,TempMin,TempMax,PrecMin,PrecMax
Amaranthus_cruentus_L.,16.526,56.631,75,500,40,300,300,2800
Amaranthus_cruentus_L.,16.523,56.679,75,498,40,300,300,2800
Amaranthus_cruentus_L.,16.659,56.639,76,496,40,300,300,2800
Amaranthus_cruentus_L.,18.187,59.186,69,518,40,300,300,2800
Amaranthus_cruentus_L.,17.688,58.803,71,491,40,300,300,2800
Amaranthus_cruentus_L.,12.048,57.846,71,806,40,300,300,2800
Amaranthus_cruentus_L.,12.08,57.847,71,806,40,300,300,2800
Amaranthus_cruentus_L.,16.445,56.543,75,506,40,300,300,2800
Amaranthus_cruentus_L.,16.442,56.532,75,506,40,300,300,2800
Amaranthus_cruentus_L.,14.436,59.324,55,657,40,300,300,2800
Amaranthus_cruentus_L.,18.343,57.642,71,531,40,300,300,2800
Amaranthus_cruentus_L.,16.493,56.674,76,493,40,300,300,2800
Amaranthus_cruentus_L.,16.421,56.55,75,506,40,300,300,2800
Amaranthus_cruentus_L.,16.544,56.425,77,507,40,300,300,2800
Amaranthus_cruentus_L.,16.418,56.402,77,517,40,300,300,2800
Amaranthus_cruentus_L.,16.45,56.477,76,512,40,300,300,2800
Amaranthus_cruentus_L.,16.776,56.959,76,478,40,300,300,2800
Amaranthus_cruentus_L.,16.415,56.353,77,513,40,300,300,2800
Amaranthus_cruentus_L.,16.53,56.657,75,500,40,300,300,2800
Amaranthus_cruentus_L.,12.868,56.653,77,771,40,300,300,2800
Amaranthus_cruentus_L.,17.622,59.885,57,557,40,300,300,2800
Amaranthus_cruentus_L.,16.402,56.315,78,522,40,300,300,2800
Amaranthus_cruentus_L.,16.519,56.649,75,500,40,300,300,2800
Amaranthus_cruentus_L.,16.414,56.569,77,503,40,300,300,2800
Amaranthus_cruentus_L.,20.409,63.875,25,577,40,300,300,2800
Amaranthus_cruentus_L.,16.681,56.659,77,490,40,300,300,2800
Amaranthus_cruentus_L.,16.393,56.425,77,507,40,300,300,2800
Amaranthus_cruentus_L.,12.866,56.654,77,771,40,300,300,2800
Amaranthus_cruentus_L.,16.416,56.412,77,513,40,300,300,2800
Amaranthus_cruentus_L.,12.958,55.478,82,581,40,300,300,2800
Amaranthus_cruentus_L.,16.335,56.655,77,496,40,300,300,2800
Amaranthus_cruentus_L.,18.061,59.35,70,529,40,300,300,2800
Amaranthus_cruentus_L.,12.869,56.653,77,771,40,300,300,2800
Amaranthus_cruentus_L.,16.444,56.542,75,506,40,300,300,2800
Amaranthus_cruentus_L.,17.554,59.662,61,550,40,300,300,2800
Amaranthus_cruentus_L.,15.687,56.114,78,551,40,300,300,2800
Amaranthus_cruentus_L.,16.422,56.344,77,517,40,300,300,2800
Amaranthus_cruentus_L.,14.956,58.053,58,607,40,300,300,2800
Amaranthus_cruentus_L.,15.087,58.21,60,591,40,300,300,2800
Amaranthus_cruentus_L.,12.046,57.846,71,806,40,300,300,2800
Amaranthus_cruentus_L.,16.377,56.445,77,507,40,300,300,2800
Amaranthus_cruentus_L.,16.429,56.381,77,517,40,300,300,2800
Amaranthus_cruentus_L.,16.612,56.837,75,491,40,300,300,2800
Amaranthus_cruentus_L.,16.536,56.648,75,500,40,300,300,2800
Amaranthus_cruentus_L.,16.548,56.674,75,498,40,300,300,2800
Amaranthus_cruentus_L.,13.066,56.545,76,794,40,300,300,2800
Amaranthus_cruentus_L.,14.658,58.209,59,606,40,300,300,2800
Amaranthus_cruentus_L.,16.406,56.315,78,522,40,300,300,2800
Amaranthus_cruentus_L.,16.546,59.343,62,573,40,300,300,2800
Amaranthus_cruentus_L.,16.325,56.689,76,497,40,300,300,2800
Amaranthus_cruentus_L.,14.895,58.455,61,595,40,300,300,2800
Amaranthus_cruentus_L.,16.444,56.533,75,506,40,300,300,2800
Amaranthus_cruentus_L.,16.505,56.645,75,500,40,300,300,2800
Amaranthus_cruentus_L.,12.939,56.69,74,825,40,300,300,2800
Amaranthus_cruentus_L.,13.701,55.862,72,692,40,300,300,2800
Amaranthus_cruentus_L.,16.749,56.779,76,488,40,300,300,2800
Amaranthus_cruentus_L.,16.446,56.538,75,506,40,300,300,2800
Amaranthus_cruentus_L.,14.988,58.055,58,607,40,300,300,2800
Amaranthus_cruentus_L.,13.62,59.648,53,660,40,300,300,2800
Amaranthus_cruentus_L.,16.444,56.286,78,519,40,300,300,2800
Amaranthus_cruentus_L.,12.954,55.479,82,581,40,300,300,2800
Amaranthus_cruentus_L.,16.523,56.644,75,500,40,300,300,2800
Amaranthus_cruentus_L.,14.964,58.138,58,607,40,300,300,2800
Amaranthus_cruentus_L.,16.588,56.522,77,497,40,300,300,2800
Amaranthus_cruentus_L.,16.405,56.383,77,513,40,300,300,2800
Amaranthus_cruentus_L.,16.483,56.615,76,500,40,300,300,2800
Amaranthus_cruentus_L.,13.786,57.994,52,693,40,300,300,2800
Amaranthus_cruentus_L.,25.983,38.567,156,650,40,300,300,2800
Amaranthus_cruentus_L.,16.966,57.121,75,464,40,300,300,2800
Amaranthus_cruentus_L.,27.95,36.333,178,897,40,300,300,2800
Amaranthus_cruentus_L.,11.965,57.705,74,773,40,300,300,2800
Amaranthus_cruentus_L.,13.193,55.704,78,656,40,300,300,2800
Amaranthus_cruentus_L.,15.402,56.197,76,566,40,300,300,2800
Amaranthus_cruentus_L.,16.931,57.067,76,469,40,300,300,2800
Amaranthus_cruentus_L.,14.399,58.659,58,619,40,300,300,2800
Amaranthus_cruentus_L.,18.008,59.369,70,529,40,300,300,2800
Amaranthus_cruentus_L.,27.817,36.017,183,833,40,300,300,2800
Amaranthus_cruentus_L.,-6.944,52.394,97,989,40,300,300,2800
Amaranthus_cruentus_L.,-6.13,53.293,96,835,40,300,300,2800
Amaranthus_cruentus_L.,-7.114,52.261,99,993,40,300,300,2800
Amaranthus_cruentus_L.,-6.126,53.297,96,835,40,300,300,2800
Amaranthus_cruentus_L.,-77.097,38.886,128,1032,40,300,300,2800
Amaranthus_cruentus_L.,-111.65,40.26,70,609,40,300,300,2800
Amaranthus_cruentus_L.,71.438,38.187,48,454,40,300,300,2800
Amaranthus_cruentus_L.,39.667,67,-10,486,40,300,300,2800
Amaranthus_cruentus_L.,44.747,42.153,88,897,40,300,300,2800
Amaranthus_cruentus_L.,21.472,41.593,91,646,40,300,300,2800
Amaranthus_cruentus_L.,22.249,41.405,125,470,40,300,300,2800
Amaranthus_cruentus_L.,8.5,12,261,772,40,300,300,2800
Amaranthus_cruentus_L.,71.547,38.234,34,475,40,300,300,2800
Amaranthus_cruentus_L.,21.012,41.089,90,787,40,300,300,2800
Amaranthus_cruentus_L.,7.95,11.917,255,840,40,300,300,2800
Amaranthus_cruentus_L.,20.603,41.34,85,988,40,300,300,2800
Amaranthus_cruentus_L.,21.757,41.843,109,522,40,300,300,2800
Amaranthus_cruentus_L.,20.527,41.525,91,1001,40,300,300,2800
Amaranthus_cruentus_L.,21.826,42.227,109,534,40,300,300,2800
Amaranthus_cruentus_L.,21.78,41.958,109,522,40,300,300,2800
Amaranthus_cruentus_L.,37.153,36.199,170,349,40,300,300,2800
Amaranthus_cruentus_L.,21.666,41.701,109,550,40,300,300,2800
Amaranthus_cruentus_L.,20.676,41.178,113,869,40,300,300,2800
Amaranthus_cruentus_L.,21.436,41.911,102,606,40,300,300,2800
Amaranthus_cruentus_L.,21.578,42.204,89,634,40,300,300,2800
